State,Total Cities,"Total 2010 Population
"
Alabama,67,4779736
Alaska,29,710231
Arizona,15,6392017
Arkansas,75,2915918
California,58,37253956
Colorado,64,5029196
Connecticut,8,3574097
Delaware,3,897934
Florida,67,18801310
Georgia,159,9687653
Hawaii,5,1360301
Idaho,44,1567582
Illinois,102,12830632
Indiana,92,6483802
Iowa,99,3046355
Kansas,105,2853118
Kentucky,120,4339367
Louisiana,64,4533372
Maine,16,1328361
Maryland,24,5773552
Massachusetts,14,6547629
Michigan,83,9883640
Minnesota,87,5303925
Mississippi,82,2967297
Missouri,115,5988927
Montana,56,989415
Nebraska,93,1826341
Nevada,17,2700551
New Hampshire,10,1316470
New Jersey,21,8791894
New Mexico,33,2059179
New York,62,19378102
North Carolina,100,9535483
North Dakota,53,672591
Ohio,88,11536504
Oklahoma,77,3751351
Oregon,36,3831074
Pennsylvania,67,12702379
Rhode Island,5,1052567
South Carolina,46,4625364
South Dakota,66,814180
Tennessee,95,6346105
Texas,254,25145561
Utah,29,2763885
Vermont,14,625741
Virginia,133,8001024
Washington,39,6724540
West Virginia,55,1852994
Wisconsin,72,5686986
Wyoming,23,563626
